Name,Location
RCCG Victory Assembly 1,"Asaba, Delta, Nigeria"
RCCG New Life Parish 2,"Awka, Anambra, Nigeria"
RCCG Power House Parish 3,"Port Harcourt, Rivers, Nigeria"
RCCG Living Faith Parish 4,"Obio-Akpor, Rivers, Nigeria"
RCCG Victory Assembly 5,"Maitama, FCT, Nigeria"
RCCG Living Faith Parish 6,"Ijebu Ode, Ogun, Nigeria"
RCCG New Life Parish 7,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 8,"Kaduna, Kaduna, Nigeria"
RCCG New Life Parish 9,"Nsukka, Enugu, Nigeria"
RCCG Grace Sanctuary 10,"Ikorodu, Lagos, Nigeria"
RCCG House of Praise 11,"Ibadan, Oyo, Nigeria"
RCCG Dominion Chapel 12,"Maitama, FCT, Nigeria"
RCCG New Life Parish 13,"Nsukka, Enugu, Nigeria"
RCCG Grace Sanctuary 14,"Onitsha, Anambra, Nigeria"
RCCG Victory Assembly 15,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 16,"Enugu, Enugu, Nigeria"
RCCG House of Praise 17,"Ogbomosho, Oyo, Nigeria"
RCCG Victory Assembly 18,"Asaba, Delta, Nigeria"
RCCG Redemption Parish 19,"Warri, Delta, Nigeria"
RCCG City of Glory 20,"Ikeja, Lagos, Nigeria"
RCCG New Life Parish 21,"Asaba, Delta, Nigeria"
RCCG City of Glory 22,"Port Harcourt, Rivers, Nigeria"
RCCG Victory Assembly 23,"Abeokuta, Ogun, Nigeria"
RCCG Redemption Parish 24,"Awka, Anambra, Nigeria"
RCCG New Life Parish 25,"Ijebu Ode, Ogun, Nigeria"
RCCG Grace Sanctuary 26,"Nassarawa, Kano, Nigeria"
RCCG Redemption Parish 27,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 28,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 29,"Onitsha, Anambra, Nigeria"
RCCG City of Glory 30,"Onitsha, Anambra, Nigeria"
RCCG Redemption Parish 31,"Kubwa, FCT, Nigeria"
RCCG Grace Sanctuary 32,"Gwarinpa, FCT, Nigeria"
RCCG New Life Parish 33,"Ogbomosho, Oyo, Nigeria"
RCCG Grace Sanctuary 34,"Gwale, Kano, Nigeria"
RCCG Victory Assembly 35,"Ijebu Ode, Ogun, Nigeria"
RCCG Victory Assembly 36,"Maitama, FCT, Nigeria"
RCCG Power House Parish 37,"Fagge, Kano, Nigeria"
RCCG City of Glory 38,"Asaba, Delta, Nigeria"
RCCG City of Glory 39,"Ibadan, Oyo, Nigeria"
RCCG Power House Parish 40,"Zaria, Kaduna, Nigeria"
RCCG Redemption Parish 41,"Gwarinpa, FCT, Nigeria"
RCCG House of Praise 42,"Fagge, Kano, Nigeria"
RCCG Redemption Parish 43,"Kaduna, Kaduna, Nigeria"
RCCG Dominion Chapel 44,"Asaba, Delta, Nigeria"
RCCG Dominion Chapel 45,"Abeokuta, Ogun, Nigeria"
RCCG Living Faith Parish 46,"Onitsha, Anambra, Nigeria"
RCCG House of Praise 47,"Nassarawa, Kano, Nigeria"
RCCG Power House Parish 48,"Kaduna, Kaduna, Nigeria"
RCCG New Life Parish 49,"Kubwa, FCT, Nigeria"
RCCG House of Praise 50,"Yaba, Lagos, Nigeria"
RCCG Victory Assembly 51,"Surulere, Lagos, Nigeria"
RCCG Grace Sanctuary 52,"Kubwa, FCT, Nigeria"
RCCG Grace Sanctuary 53,"Gwarinpa, FCT, Nigeria"
RCCG House of Praise 54,"Zaria, Kaduna, Nigeria"
RCCG New Life Parish 55,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 56,"Warri, Delta, Nigeria"
RCCG Victory Assembly 57,"Abeokuta, Ogun, Nigeria"
RCCG Victory Assembly 58,"Kano, Kano, Nigeria"
RCCG Dominion Chapel 59,"Ikorodu, Lagos, Nigeria"
RCCG Grace Sanctuary 60,"Ibadan, Oyo, Nigeria"
RCCG Victory Assembly 61,"Ijebu Ode, Ogun, Nigeria"
RCCG Dominion Chapel 62,"Ibadan, Oyo, Nigeria"
RCCG City of Glory 63,"Nsukka, Enugu, Nigeria"
RCCG Living Faith Parish 64,"Nsukka, Enugu, Nigeria"
RCCG City of Glory 65,"Wuse, FCT, Nigeria"
RCCG New Life Parish 66,"Gwale, Kano, Nigeria"
RCCG Dominion Chapel 67,"Nsukka, Enugu, Nigeria"
RCCG Victory Assembly 68,"Kaduna, Kaduna, Nigeria"
RCCG House of Praise 69,"Yaba, Lagos, Nigeria"
RCCG Redemption Parish 70,"Port Harcourt, Rivers, Nigeria"
RCCG Redemption Parish 71,"Kano, Kano, Nigeria"
RCCG Redemption Parish 72,"Kaduna, Kaduna, Nigeria"
RCCG House of Praise 73,"Nsukka, Enugu, Nigeria"
RCCG New Life Parish 74,"Kano, Kano, Nigeria"
RCCG House of Praise 75,"Warri, Delta, Nigeria"
RCCG Victory Assembly 76,"Onitsha, Anambra, Nigeria"
RCCG Power House Parish 77,"Lekki, Lagos, Nigeria"
RCCG Power House Parish 78,"Awka, Anambra, Nigeria"
RCCG Redemption Parish 79,"Gwale, Kano, Nigeria"
RCCG House of Praise 80,"Lekki, Lagos, Nigeria"
RCCG Living Faith Parish 81,"Kano, Kano, Nigeria"
RCCG Power House Parish 82,"Ijebu Ode, Ogun, Nigeria"
RCCG City of Glory 83,"Abuja, FCT, Nigeria"
RCCG House of Praise 84,"Kaduna, Kaduna, Nigeria"
RCCG Power House Parish 85,"Gwarinpa, FCT, Nigeria"
RCCG Grace Sanctuary 86,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 87,"Fagge, Kano, Nigeria"
RCCG Living Faith Parish 88,"Ikeja, Lagos, Nigeria"
RCCG Redemption Parish 89,"Warri, Delta, Nigeria"
RCCG Victory Assembly 90,"Nassarawa, Kano, Nigeria"
RCCG New Life Parish 91,"Ibadan, Oyo, Nigeria"
RCCG New Life Parish 92,"Enugu, Enugu, Nigeria"
RCCG New Life Parish 93,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 94,"Ikeja, Lagos, Nigeria"
RCCG Dominion Chapel 95,"Yaba, Lagos, Nigeria"
RCCG Power House Parish 96,"Ogbomosho, Oyo, Nigeria"
RCCG City of Glory 97,"Asaba, Delta, Nigeria"
RCCG House of Praise 98,"Abeokuta, Ogun, Nigeria"
RCCG Living Faith Parish 99,"Port Harcourt, Rivers, Nigeria"
RCCG New Life Parish 100,"Ijebu Ode, Ogun, Nigeria"
RCCG Living Faith Parish 101,"Abeokuta, Ogun, Nigeria"
RCCG Grace Sanctuary 102,"Nsukka, Enugu, Nigeria"
RCCG Power House Parish 103,"Maitama, FCT, Nigeria"
RCCG Living Faith Parish 104,"Awka, Anambra, Nigeria"
RCCG Living Faith Parish 105,"Ogbomosho, Oyo, Nigeria"
RCCG Grace Sanctuary 106,"Abuja, FCT, Nigeria"
RCCG House of Praise 107,"Kaduna, Kaduna, Nigeria"
RCCG Power House Parish 108,"Nassarawa, Kano, Nigeria"
RCCG Redemption Parish 109,"Ijebu Ode, Ogun, Nigeria"
RCCG House of Praise 110,"Onitsha, Anambra, Nigeria"
RCCG City of Glory 111,"Surulere, Lagos, Nigeria"
RCCG Redemption Parish 112,"Ibadan, Oyo, Nigeria"
RCCG Grace Sanctuary 113,"Wuse, FCT, Nigeria"
RCCG Grace Sanctuary 114,"Gwarinpa, FCT, Nigeria"
RCCG Power House Parish 115,"Gwarinpa, FCT, Nigeria"
RCCG House of Praise 116,"Ijebu Ode, Ogun, Nigeria"
RCCG New Life Parish 117,"Maitama, FCT, Nigeria"
RCCG Victory Assembly 118,"Abuja, FCT, Nigeria"
RCCG Living Faith Parish 119,"Surulere, Lagos, Nigeria"
RCCG Dominion Chapel 120,"Kaduna, Kaduna, Nigeria"
RCCG House of Praise 121,"Gwale, Kano, Nigeria"
RCCG Dominion Chapel 122,"Ijebu Ode, Ogun, Nigeria"
RCCG Power House Parish 123,"Lekki, Lagos, Nigeria"
RCCG New Life Parish 124,"Kubwa, FCT, Nigeria"
RCCG House of Praise 125,"Ibadan, Oyo, Nigeria"
RCCG House of Praise 126,"Asaba, Delta, Nigeria"
